internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
132870,Moseleya latistellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,LOBOPHYLLIIDAE,Moseleya,latistellata,,,,,"Quelch, 1884",
132871,Pectinia elongata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Pectinia,elongata,,,,,"(Rehberg, 1892)",
132872,Dipsastraea vietnamensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Dipsastraea,vietnamensis,,,,,"(Veron, 2000)",
132873,Porites densa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,densa,,,,,"Vaughan, 1918",
132874,Scolymia lacera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Scolymia,lacera,,,,,"(M. Edwards &amp; Haime, 1849)","Solitary polyps of <em>Mussa angulosa</em> have been sometimes identified as <em>Scolymia lacera</em> (Veron 2000; see also Fenner 1993).&#160;According to the World Register of Marine Species (WoRMS), this species is valid (database accessed September 2021)."
132875,Pocillopora kelleheri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,kelleheri,,,,,"Veron, 2000",
132876,Leptoseris tubulifera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,tubulifera,,,,,"Vaughan, 1907",
132877,Heliofungia fralinae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Heliofungia,fralinae,,,,,"(Nemenzo, 1955)",
132878,Astraeosmilia maxima,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Astraeosmilia,maxima,,,,,"(Veron Pichon &amp; Wijsman-Best, 1977)",
132879,Goniopora tenella,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,tenella,,,,,"(Quelch, 1886)",The taxonomic status of this species is under review according to Veron <em>et al</em>. (2016). It is valid according to the WoRMS online database (accessed June 2023).
132880,Pavona venosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,venosa,,,,,"(Ehrenberg, 1834)",
132881,Hydnophora rigida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,rigida,,,,,"(Dana, 1846)",
132882,Acropora japonica,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,japonica,,,,,"Veron, 2000",Further study is needed to clarify the differences between this species and high latitude specimens of <em>Acropora digitifera</em> (Veron <em>et al. </em>2016).
132883,Paragoniastrea australensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Paragoniastrea,australensis,,,,,"(Milne Edwards &amp; Haime, 1857)",
132884,Colpophyllia natans,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Colpophyllia,natans,,,,,"(Houttuyn, 1772)",
132885,Leptoseris hawaiiensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,hawaiiensis,,,,,"Vaughan, 1907",This species is a complex (Gijsbers <em>et al</em>. 2023).
