accession_id,included,Title,Authors,Year,DOI,inclusion_summary,passed_screening,screened_fail_stage,full_text_available,passed_inclusion_criteria,criteria_failed,criteria_fail_reason,Database.ID,Source.title,Document.Type,Cited
A_1148,N,Preliminary results of trans-gene rational marking of larval marine fish otoliths,"Buckley, Raymond M.; LeClair, Larry L.; Volk, Eric C.; Schroder, Steve L.",2007,,screened_by_title,N,title,NA,NA,NA,NA,WOS:000248909500005,"BIOLOGY, ASSESSMENT, AND MANAGEMENT OF NORTH PACIFIC ROCKFISHES",Proceedings Paper,1
A_1149,N,The combined effects of dispersal and herbivores on stable states in coral reefs,"Greiner, Ariel; Darling, Emily S.; Fortin, Marie-Josee; Krkosek, Martin",2022,10.1007/s12080-022-00546-w,excluded_criteria_2,Y,NA,Y,N,2,Theoretical,WOS:000861113000001,THEORETICAL ECOLOGY,Article,2
A_1150,N,Searching for common threads in threadfins: phylogeography of Australian polynemids in space and time,"Horne, John B.; Momigliano, Paolo; Welch, David J.; Newman, Stephen J.; van Herwerden, Lynne",2012,10.3354/meps09557,screened_by_title,N,title,NA,NA,NA,NA,WOS:000301231500021,MARINE ECOLOGY PROGRESS SERIES,Article,20
A_1152,N,Rapid physiological and transcriptomic changes associated with oxygen delivery in larval anemonefish suggest a role in adaptation to life on hypoxic coral reefs,"Downie, Adam T.; Lefevre, Sjannie; Illing, Bjorn; Harris, Jessica; Jarrold, Michael D.; McCormick, Mark I.; Nilsson, Goeran E.; Rummer, Jodie L.",2023,10.1371/journal.pbio.3002102,screened_by_title,N,title,NA,NA,NA,NA,WOS:000987847000002,PLOS BIOLOGY,Article,6
A_1153,N,Spatial and temporal genetic variation in an exploited reef fish: The effects of exploitation on cohort genetic structure,"Taboun, Zahra S.; Walter, Ryan P.; Ovenden, Jennifer R.; Heath, Daniel D.",2021,10.1111/eva.13198,screened_by_title,N,title,NA,NA,NA,NA,WOS:000616649000001,EVOLUTIONARY APPLICATIONS,Article,5
A_1154,N,Recruitment and early post-settlement processes in coral reef fishes,"Caselle, Jennifer Elaine",1997,,screened_by_title,N,title,NA,NA,NA,NA,PQDT:64444089,,Dissertation/Thesis,0
A_1155,N,"Seasonality and lunar periodicity in the sexual reproduction of the coral-killing sponge, Terpios hoshinota","Nozawa, Yoko; Huang, Yu-Sin; Hirose, Euichi",2016,10.1007/s00338-016-1417-0,screened_by_title,N,title,NA,NA,NA,NA,WOS:000382019400036,CORAL REEFS,Article,19
A_1156,N,Land Use Impacts on Coral Reef Health: A Ridge-to-Reef Perspective,"Carlson, Rachel R.; Foo, Shawna A.; Asner, Gregory P.",2019,10.3389/fmars.2019.00562,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000486545600001,FRONTIERS IN MARINE SCIENCE,Review,92
A_1157,N,Effect of pelagic larval growth and size-at-hatching on post-settlement survivorship in two temperate labrid fish of the genus Symphodus,"Raventos, N; Macpherson, E",2005,10.3354/meps285205,screened_by_title,N,title,NA,NA,NA,NA,WOS:000227185300019,MARINE ECOLOGY PROGRESS SERIES,Article,60
A_1160,N,"Understanding age-specific dispersal in fishes through hydrodynamic modelling, genetic simulations and microsatellite DNA analysis","Berry, Oliver; England, Phillip; Marriott, Ross J.; Burridge, Christopher P.; Newman, Stephen J.",2012,10.1111/j.1365-294X.2012.05520.x,screened_by_title,N,title,NA,NA,NA,NA,WOS:000302932500009,MOLECULAR ECOLOGY,Article,45
